
  0% | 0/20 | ?it/s
T50/51, E89/160 => nca: 0.057, flat: 0.214, pod: 3.41, loss: 3.68: :  10% | 2/20 |  5.19it/s 
T50/51, E89/160 => nca: 0.057, flat: 0.214, pod: 3.41, loss: 3.68: :  15% | 3/20 |  5.19it/s
T50/51, E89/160 => nca: 0.057, flat: 0.216, pod: 3.315, loss: 3.589: :  15% | 3/20 |  5.19it/s
T50/51, E89/160 => nca: 0.057, flat: 0.216, pod: 3.315, loss: 3.589: :  20% | 4/20 |  5.21it/s
T50/51, E89/160 => nca: 0.053, flat: 0.229, pod: 3.379, loss: 3.661: :  20% | 4/20 |  5.21it/s
T50/51, E89/160 => nca: 0.053, flat: 0.229, pod: 3.379, loss: 3.661: :  25% | 5/20 |  5.20it/s
T50/51, E89/160 => nca: 0.052, flat: 0.226, pod: 3.33, loss: 3.608: :  25% | 5/20 |  5.20it/s 
T50/51, E89/160 => nca: 0.052, flat: 0.226, pod: 3.33, loss: 3.608: :  30% | 6/20 |  5.17it/s
T50/51, E89/160 => nca: 0.051, flat: 0.224, pod: 3.287, loss: 3.563: :  30% | 6/20 |  5.17it/s
T50/51, E89/160 => nca: 0.051, flat: 0.224, pod: 3.287, loss: 3.563: :  35% | 7/20 |  5.14it/s
T50/51, E89/160 => nca: 0.052, flat: 0.22, pod: 3.269, loss: 3.541: :  35% | 7/20 |  5.14it/s 
T50/51, E89/160 => nca: 0.052, flat: 0.22, pod: 3.269, loss: 3.541: :  40% | 8/20 |  5.16it/s
T50/51, E89/160 => nca: 0.051, flat: 0.22, pod: 3.257, loss: 3.527: :  40% | 8/20 |  5.16it/s
T50/51, E89/160 => nca: 0.051, flat: 0.22, pod: 3.257, loss: 3.527: :  45% | 9/20 |  5.20it/s
